method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT linear probe,mert_v1_95m,test,5,笙,0.9280291069271932,0.05620178921849617,0.8948024948024949,0.09211627481178443,0.96668985622474,0.011482631008765199
MERT linear probe,mert_v1_95m,val,0,二胡,0.993939393939394,0.010497277621629563,0.9880952380952381,0.02061965247105799,1.0,0.0
MERT linear probe,mert_v1_95m,val,1,琵琶,0.9866666666666667,0.02309401076758505,0.9743589743589745,0.04441155916843266,1.0,0.0
MERT linear probe,mert_v1_95m,val,2,中阮,0.997245179063361,0.004771489828013356,1.0,0.0,0.9945355191256832,0.00946475851130535
MERT linear probe,mert_v1_95m,val,3,笛子,0.8447789725209081,0.10813366032333972,1.0,0.0,0.740921368547419,0.15465844120082933
MERT linear probe,mert_v1_95m,val,4,唢呐,0.943993297550696,0.05723111514343276,0.9027777777777777,0.09141379262169069,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,val,5,笙,0.9640236003318231,0.020007873524991254,0.9541016278105481,0.029372381841787518,0.9745454545454546,0.02211913647381172
MFCC+SVM,mfcc_svm,external_test,0,二胡,0.0172413793103448,0.02986294495808404,0.3333333333333333,0.5773502691896258,0.008849557522123868,0.015327883252821875
MFCC+SVM,mfcc_svm,external_test,1,琵琶,0.13232903750145122,0.1308081820566566,1.0,0.0,0.07450980392156857,0.07833327198211049
MFCC+SVM,mfcc_svm,external_test,2,中阮,0.0,0.0,0.0,0.0,0.0,0.0
MFCC+SVM,mfcc_svm,external_test,3,笛子,0.0,0.0,0.0,0.0,0.0,0.0
MFCC+SVM,mfcc_svm,external_test,4,唢呐,0.24548444635053557,0.029636056870392762,0.14033312469679485,0.019723995364236753,0.9925925925925926,0.012830005981991766
MFCC+SVM,mfcc_svm,external_test,5,笙,0.3064332223972519,0.05117739123639537,0.2560963550649649,0.0323918783953016,0.38733705772811905,0.1051605802867449
MFCC+SVM,mfcc_svm,test,0,二胡,1.0,0.0,1.0,0.0,1.0,0.0
MFCC+SVM,mfcc_svm,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MFCC+SVM,mfcc_svm,test,2,中阮,0.9920634920634921,0.01374643498070539,0.9844961240310077,0.026853500892540783,1.0,0.0
MFCC+SVM,mfcc_svm,test,3,笛子,0.9922480620155039,0.013426750446270392,1.0,0.0,0.9848484848484849,0.026243194054073875
MFCC+SVM,mfcc_svm,test,4,唢呐,0.9837553144235041,0.01485150501258919,0.9869281045751634,0.011320593513522033,0.980643539467069,0.019232001458959428
MFCC+SVM,mfcc_svm,test,5,笙,0.9746795379015668,0.022340577646912312,0.9687370600414079,0.03269189819047722,0.9814814814814815,0.03207501495497923
MFCC+SVM,mfcc_svm,val,0,二胡,1.0,0.0,1.0,0.0,1.0,0.0
MFCC+SVM,mfcc_svm,val,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MFCC+SVM,mfcc_svm,val,2,中阮,0.990990990990991,0.015604061329449314,1.0,0.0,0.9824561403508772,0.030386856273138165
MFCC+SVM,mfcc_svm,val,3,笛子,0.9722018572825024,0.006110398269499541,1.0,0.0,0.9459533813525409,0.011604291495794176
MFCC+SVM,mfcc_svm,val,4,唢呐,0.960077519379845,0.03595888323595037,0.9385727190605239,0.05647876795787025,0.9833229101521784,0.014456317237928524
