experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,external_test,610,0.5229508196721312,0.4772334120850518,0.4651191738362455,0.5529942378314295
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed0,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed0,val,221,0.6787330316742082,0.5580542999102324,0.53461312109594,0.6244613229907348
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed0,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed0,test,204,0.7843137254901961,0.652026361706934,0.6511850674252883,0.6678022050071618
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed0,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed0,external_test,610,0.3639344262295082,0.2219847906604109,0.19561955625567115,0.27788965805483645
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed1,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed1,val,185,0.654054054054054,0.49239342510928547,0.5015933539640436,0.5466666666666667
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed1,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed1,test,242,0.5041322314049587,0.3838934720103843,0.33343299423625883,0.49735708559237973
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed1,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed1,external_test,610,0.18688524590163935,0.12553728070175438,0.16925850951299481,0.22683729972144762
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed2,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed2,val,230,0.7391304347826086,0.5790704665704666,0.546490528990529,0.6362158167036216
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed2,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed2,test,233,0.592274678111588,0.5092378426317191,0.482433567528705,0.5898692810457516
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train10_seed2,MERT+LoRA (r=8),mert_v1_95m,train10,0.1,seed2,external_test,610,0.30983606557377047,0.17478158178652323,0.2175485008818342,0.26445321370763347
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed0,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed0,val,221,0.7194570135746606,0.5729890882064795,0.6505481233742103,0.5915032679738562
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed0,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed0,test,204,0.6470588235294118,0.5024409971160769,0.603827323227568,0.5289713721165334
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed0,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed0,external_test,610,0.2262295081967213,0.16019592024247153,0.27373070232659275,0.2152266670843063
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed1,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed1,val,185,0.8108108108108109,0.636360438740058,0.7381868131868132,0.6447067901234568
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed1,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed1,test,242,0.8305785123966942,0.8266604182437799,0.8685805095287855,0.836585140813082
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train25_seed1,MERT+LoRA (r=8),mert_v1_95m,train25,0.25,seed1,external_test,610,0.46557377049180326,0.4299590353805581,0.5744633308973678,0.4516670031227705
