method,model,ratio_name,ratio_value,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT linear probe,mert_v1_95m,train100,1.0,external_test,3,笛子,0.5349322352974053,0.07955870582097414,0.5952055078594832,0.13412049327039985,0.5602836879432624,0.28072477280872027
MERT linear probe,mert_v1_95m,train100,1.0,external_test,4,唢呐,0.3515947000500484,0.04609078715741578,0.22440327875336177,0.04145588630060261,0.837037037037037,0.06789001029564212
MERT linear probe,mert_v1_95m,train100,1.0,external_test,5,笙,0.5167953193853991,0.01518385611458881,0.6219992685197501,0.09215783110961161,0.44692737430167595,0.025600981536066172
MERT linear probe,mert_v1_95m,train100,1.0,test,0,二胡,0.9945355191256832,0.00946475851130535,0.989247311827957,0.018624202231923397,1.0,0.0
MERT linear probe,mert_v1_95m,train100,1.0,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MERT linear probe,mert_v1_95m,train100,1.0,test,2,中阮,0.992648527707859,0.006501651582593889,0.9935897435897436,0.01110288979210815,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,train100,1.0,test,3,笛子,0.9340780166276238,0.07503653651531828,0.9713064713064714,0.025267646015353914,0.9055864770150484,0.12979550427332118
MERT linear probe,mert_v1_95m,train100,1.0,test,4,唢呐,0.9554815636946602,0.047392831403627905,0.9509090909090908,0.06844192808988625,0.9611613876319759,0.03363998028611003
MERT linear probe,mert_v1_95m,train100,1.0,test,5,笙,0.9280291069271932,0.05620178921849617,0.8948024948024949,0.09211627481178443,0.96668985622474,0.011482631008765199
MERT linear probe,mert_v1_95m,train100,1.0,val,0,二胡,0.993939393939394,0.010497277621629563,0.9880952380952381,0.02061965247105799,1.0,0.0
MERT linear probe,mert_v1_95m,train100,1.0,val,1,琵琶,0.9866666666666667,0.02309401076758505,0.9743589743589745,0.04441155916843266,1.0,0.0
MERT linear probe,mert_v1_95m,train100,1.0,val,2,中阮,0.997245179063361,0.004771489828013356,1.0,0.0,0.9945355191256832,0.00946475851130535
MERT linear probe,mert_v1_95m,train100,1.0,val,3,笛子,0.8447789725209081,0.10813366032333972,1.0,0.0,0.740921368547419,0.15465844120082933
MERT linear probe,mert_v1_95m,train100,1.0,val,4,唢呐,0.943993297550696,0.05723111514343276,0.9027777777777777,0.09141379262169069,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,train100,1.0,val,5,笙,0.9640236003318231,0.020007873524991254,0.9541016278105481,0.029372381841787518,0.9745454545454546,0.02211913647381172
MERT linear probe,mert_v1_95m,train25,0.25,external_test,0,二胡,0.08787174444245781,0.1378995584419334,0.13479052823315113,0.12201628237787755,0.0884955752212389,0.1456821029482684
MERT linear probe,mert_v1_95m,train25,0.25,external_test,1,琵琶,0.5578091695829287,0.10370150605374781,0.6733923416135275,0.22346327965680665,0.592156862745098,0.329901596596833
MERT linear probe,mert_v1_95m,train25,0.25,external_test,2,中阮,0.14991213355699332,0.04764423194917881,0.6373626373626374,0.13469945793550842,0.08510638297872336,0.028146290543240315
MERT linear probe,mert_v1_95m,train25,0.25,external_test,3,笛子,0.3895330793523311,0.2539130684328529,0.35286179300656545,0.07676503870557277,0.5921985815602837,0.4613064945427809
MERT linear probe,mert_v1_95m,train25,0.25,external_test,4,唢呐,0.10179815571993851,0.0552496550936198,0.07085883465193807,0.03291238189853521,0.19259259259259254,0.1302103394907181
MERT linear probe,mert_v1_95m,train25,0.25,external_test,5,笙,0.40922450745009825,0.10831116744438343,0.49415940084954163,0.20090979462266753,0.46182495344506513,0.2360514246181129
MERT linear probe,mert_v1_95m,train25,0.25,test,0,二胡,0.9274515839627879,0.04878392607301618,0.956989247311828,0.04927500747264352,0.9046788724208078,0.09460296441998435
MERT linear probe,mert_v1_95m,train25,0.25,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MERT linear probe,mert_v1_95m,train25,0.25,test,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
MERT linear probe,mert_v1_95m,train25,0.25,test,3,笛子,0.6867168198301311,0.0895629515485416,0.9073260073260073,0.0963425672841515,0.5543032364460936,0.0878515292642685
MERT linear probe,mert_v1_95m,train25,0.25,test,4,唢呐,0.7771602920344339,0.08284125252793938,0.6809010615023094,0.10720531447442902,0.9126445449974862,0.05340933876464541
MERT linear probe,mert_v1_95m,train25,0.25,test,5,笙,0.865494412818891,0.0607694585407059,0.8205806539139872,0.11840885114670004,0.9256277744649838,0.03635523902870815
MERT linear probe,mert_v1_95m,train25,0.25,val,0,二胡,0.8866280672732286,0.1279039481980087,0.844047619047619,0.17351164951382025,0.9405162738496071,0.0782662328691858
MERT linear probe,mert_v1_95m,train25,0.25,val,1,琵琶,0.6842650103519669,0.1788435230096853,0.9166666666666666,0.14433756729740643,0.6222222222222222,0.3421067626297923
MERT linear probe,mert_v1_95m,train25,0.25,val,2,中阮,0.9810079966329966,0.024669895159727645,0.9634825870646765,0.04700552697659467,1.0,0.0
MERT linear probe,mert_v1_95m,train25,0.25,val,3,笛子,0.6692109038737447,0.10303989287914485,0.7969895028718558,0.045072681053501144,0.5912114845938375,0.16449755348202
MERT linear probe,mert_v1_95m,train25,0.25,val,4,唢呐,0.8167432745745998,0.14503893161753995,0.7368247694334652,0.2055961379966841,0.9426427231305281,0.013816780174491427
MERT linear probe,mert_v1_95m,train25,0.25,val,5,笙,0.8380572489400667,0.09337162015164972,0.9158941275241924,0.028093464806811904,0.7878431372549018,0.1727863786335364
MERT linear probe,mert_v1_95m,train50,0.5,external_test,0,二胡,0.2301977286095652,0.23018867977891694,0.3389001349527665,0.3124041319508653,0.2271386430678466,0.27989421792317426
MERT linear probe,mert_v1_95m,train50,0.5,external_test,1,琵琶,0.5846821670765333,0.026020768319791922,0.5387562004305204,0.1868160581934686,0.7490196078431373,0.23568594825594846
MERT linear probe,mert_v1_95m,train50,0.5,external_test,2,中阮,0.08931670944872265,0.06483659637598889,0.5158730158730158,0.3485744643809167,0.04964539007092197,0.03736047430089625
MERT linear probe,mert_v1_95m,train50,0.5,external_test,3,笛子,0.3061287267943615,0.21027893993082544,0.4355141476880607,0.07319332635446679,0.3723404255319149,0.4427372775890386
MERT linear probe,mert_v1_95m,train50,0.5,external_test,4,唢呐,0.2045306001188354,0.07703907643212872,0.13863880974992082,0.029658600620474436,0.4814814814814814,0.3989698669480068
MERT linear probe,mert_v1_95m,train50,0.5,external_test,5,笙,0.45771870628648004,0.07602523455965383,0.47539920930525276,0.013998052855981217,0.46182495344506513,0.16156105196829776
MERT linear probe,mert_v1_95m,train50,0.5,test,0,二胡,0.974867724867725,0.02391949910056231,0.9696969696969697,0.05248638810814775,0.981981981981982,0.031208122658898628
MERT linear probe,mert_v1_95m,train50,0.5,test,1,琵琶,0.9803921568627451,0.03396178054056629,1.0,0.0,0.9629629629629629,0.06415002990995845
MERT linear probe,mert_v1_95m,train50,0.5,test,2,中阮,0.9935897435897436,0.01110288979210815,0.9874213836477987,0.02178680261092927,1.0,0.0
MERT linear probe,mert_v1_95m,train50,0.5,test,3,笛子,0.8751764468642872,0.10189472734080676,0.9031082331174839,0.06667281725283139,0.8616780045351474,0.1737470544624991
MERT linear probe,mert_v1_95m,train50,0.5,test,4,唢呐,0.8685579196217494,0.047731585028840784,0.8871252204585538,0.08996005716260416,0.8575917546505781,0.0773767539113168
MERT linear probe,mert_v1_95m,train50,0.5,test,5,笙,0.877801847260284,0.025133546439200783,0.8331908831908832,0.04921090628896884,0.9309945007619426,0.053751887215884926
MERT linear probe,mert_v1_95m,train50,0.5,val,0,二胡,0.9831201137171286,0.017937186018332874,0.9672075726842461,0.034606824498270294,1.0,0.0
MERT linear probe,mert_v1_95m,train50,0.5,val,1,琵琶,0.8333333333333334,0.28867513459481287,1.0,0.0,0.7777777777777777,0.3849001794597505
MERT linear probe,mert_v1_95m,train50,0.5,val,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
MERT linear probe,mert_v1_95m,train50,0.5,val,3,笛子,0.7555167055167055,0.07674418816850205,0.8982905982905983,0.051303414353705744,0.6548869547819127,0.09653935084116352
MERT linear probe,mert_v1_95m,train50,0.5,val,4,唢呐,0.8937230034004228,0.09059035848571373,0.8466880341880342,0.1315697645647441,0.9509961583132315,0.042061681384021096
MERT linear probe,mert_v1_95m,train50,0.5,val,5,笙,0.9045356227746165,0.0541003225691352,0.8862184286712589,0.07163781763721526,0.9254010695187166,0.05206768736560835
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,0,二胡,0.31602980052871904,0.34551319958182086,0.35715991023253596,0.31015753711348193,0.3539823008849557,0.4682745683300161
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,1,琵琶,0.0,0.0,0.0,0.0,0.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,2,中阮,0.2554272473636922,0.3005606397030944,0.7695473251028807,0.19995935165854065,0.21631205673758866,0.29411254311693563
