source_phase,experiment_id,method,method_short,model,split,true_label,pred_label,count_mean,count_std,row_rate_mean,row_rate_std,seed_count
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,琵琶,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,琵琶,笛子,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,琵琶,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,琵琶,笙,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,中阮,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,中阮,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,中阮,中阮,42.0,8.54400374531753,1.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,中阮,笛子,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,中阮,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,中阮,笙,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笛子,二胡,2.3333333333333335,1.5275252316519468,0.05023706452277881,0.043379020377437294,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笛子,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笛子,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笛子,笛子,46.666666666666664,11.503622617824933,0.9043238507524222,0.04754773514932738,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,笛子,唢呐,2.0,2.6457513110645907,0.03358585858585859,0.03860168774689105,3
