method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT+LoRA (r=8),mert_v1_95m,external_test,2,中阮,0.4038337323372403,0.1953894341867361,0.45575503067865347,0.07895699261342015,0.41489361702127664,0.31772733027804423
MERT+LoRA (r=8),mert_v1_95m,external_test,3,笛子,0.26741363211951447,0.26666980515850375,0.3355112881806109,0.3211258323197713,0.3829787234042554,0.5229023713806173
MERT+LoRA (r=8),mert_v1_95m,external_test,4,唢呐,0.49053724053724057,0.07761945673116759,0.41963437096467593,0.10098260628163246,0.6222222222222222,0.11758894715842626
MERT+LoRA (r=8),mert_v1_95m,external_test,5,笙,0.5066069852477619,0.02841348557562563,0.4734750709301501,0.15519432821466492,0.6294227188081937,0.2022264059973026
MERT+LoRA (r=8),mert_v1_95m,test,0,二胡,0.9126426004063135,0.07756486743694838,0.9444444444444445,0.0962250448649376,0.8959604766056378,0.13610008809734858
MERT+LoRA (r=8),mert_v1_95m,test,1,琵琶,0.4468864468864469,0.3994521869660245,0.4666666666666666,0.5033222956847166,0.5416666666666666,0.5051814855409226
MERT+LoRA (r=8),mert_v1_95m,test,2,中阮,0.9423097974822112,0.054611053920677284,0.8941827337176175,0.09499579542693506,1.0,0.0
MERT+LoRA (r=8),mert_v1_95m,test,3,笛子,0.5719565217391304,0.2735645643874017,1.0,0.0,0.4326015254586683,0.2516930074039794
MERT+LoRA (r=8),mert_v1_95m,test,4,唢呐,0.8328831915954384,0.0621659058351477,0.7311584840654608,0.0921626211465903,0.9742332830568126,0.029335122066117707
MERT+LoRA (r=8),mert_v1_95m,test,5,笙,0.8553362573099416,0.11908325517500695,0.7726749189461835,0.17900132139734792,0.9752368647717485,0.023401900241547202
MERT+LoRA (r=8),mert_v1_95m,val,0,二胡,0.9157894736842106,0.1036721873873274,0.9666666666666667,0.05773502691896256,0.8888888888888888,0.1924500897298753
MERT+LoRA (r=8),mert_v1_95m,val,1,琵琶,0.5594356261022928,0.2587411588822331,0.8888888888888888,0.1924500897298753,0.45555555555555555,0.25891511550513435
MERT+LoRA (r=8),mert_v1_95m,val,2,中阮,0.9815513041319494,0.012046005562359694,0.968913308913309,0.014592614637390734,0.9945355191256832,0.00946475851130535
MERT+LoRA (r=8),mert_v1_95m,val,3,笛子,0.47300592128178337,0.44126497310541174,0.6666666666666666,0.5773502691896258,0.3835034013605442,0.3878250250237957
MERT+LoRA (r=8),mert_v1_95m,val,4,唢呐,0.8551233155352148,0.02621181699426408,0.7518582046883934,0.03541653668598878,0.991869918699187,0.014081713882673812
MERT+LoRA (r=8),mert_v1_95m,val,5,笙,0.8701379617267467,0.07745745003722201,0.8472913162786581,0.11682643597592149,0.8979144385026738,0.05015697854804289
